flux,time
0.18244147,23355.187
0.168153722,23378.673
0.185222077,23402.15
0.179779471,23425.627
0.173881889,23449.112
0.1422384,23472.594
0.122602642,23496.072
0.104010438,23519.557
0.12069909,23543.041
0.111790554,23566.523
0.086758775,23590.005
0.086815957,23613.486
0.092655593,23636.966
0.082762697,23660.446
0.079729581,23683.926
0.099007393,23707.41
0.083578087,23730.888
0.072247104,23754.369
0.071678988,23777.854
0.049256816,23801.329
0.063211545,23824.811
0.052611862,23848.296
0.042663635,23871.776
0.035349219,23895.258
0.01281121,23918.737
0.016629936,23942.219
0.00623695,23965.699
-0.008123954,23989.177
-0.00707014,24012.664
0.007920748,24036.153
-0.015334526,24059.629
-0.018580545,24083.114
-0.029829171,24106.597
-0.029567016,24130.075
-0.029272199,24153.557
-0.026319558,24177.037
-0.053242574,24200.519
-0.068244986,24224.006
-0.05767797,24247.487
-0.064973508,24270.968
-0.068579452,24294.445
-0.081023157,24317.921
-0.072915232,24341.405
-0.082092241,24364.884
-0.092345901,24388.367
-0.101270835,24411.853
-0.112315619,24435.331
-0.10718365,24458.817
-0.116047424,24482.3
-0.116216365,24505.777
-0.121999863,24529.269
-0.12629744,24552.751
-0.128124742,24576.234
-0.13313938,24599.71
-0.14467088,24623.187
-0.162444524,24646.673
-0.155322751,24670.15
-0.175168805,24693.63
-0.16892978,24717.112
-0.17362528,24740.588
-0.126757847,24764.071
-0.188281425,24787.555
-0.18047928,24811.038
-0.190374963,24834.52
-0.193468149,24858.006
-0.214425062,24881.484
-0.210047994,24904.965
-0.207906999,24928.444
-0.219347183,24951.926
-0.22803816,24975.403
-0.225041431,24998.884
-0.234955182,25022.365
-0.245883075,25045.85
-0.239987446,25069.327
-0.24761451,25092.809
-0.256916838,25116.293
-0.270575819,25139.771
-0.275339631,25163.256
-0.275199044,25186.736
-0.257423728,25210.219
-0.254409454,25233.705
-0.259513528,25257.18
-0.270866975,25280.666
-0.273019194,25304.144
-0.22991494,25327.62
-0.272218565,25351.103
-0.255500757,25374.581
-0.25687666,25398.063
-0.272356127,25421.546
-0.280245912,25445.03
-0.306194288,25468.513
-0.298805624,25491.995
-0.296388515,25515.473
-0.311532767,25538.952
-0.290310174,25562.429
-0.306227215,25585.912
-0.292408169,25609.392
-0.306850364,25632.868
-0.3110964,25656.348
-0.305830847,25679.829
-0.320390539,25703.306
-0.257638708,25726.789
-0.283226509,25750.273
-0.301720564,25773.755
-0.301150147,25797.237
-0.285061347,25820.716
-0.306213048,25844.192
-0.284352198,25867.671
-0.307955311,25891.148
-0.296852353,25914.631
-0.300982182,25938.111
-0.305204635,25961.6
-0.320708443,25985.083
-0.29563762,26008.559
-0.318293024,26032.042
-0.312203443,26055.528
-0.31228925,26079.005
-0.323950792,26102.491
-0.327942531,26125.972
-0.325631728,26149.455
-0.311401458,26172.933
-0.316385067,26196.408
-0.322540733,26219.902
-0.334702719,26243.377
-0.325401031,26266.857
-0.332280461,26290.338
-0.330709738,26313.816
-0.334575069,26337.293
-0.325251963,26360.775
-0.285393818,26384.258
-0.329257584,26407.74
-0.310162022,26431.223
-0.320931823,26454.7
-0.326341579,26478.179
-0.288239749,26587.945
-0.250272441,26611.428
-0.297987974,26634.902
-0.286736799,26658.387
-0.226980977,26681.872
-0.296874425,26705.357
-0.287785579,26728.838
-0.296092847,26752.32
